,A,B,M,N,V/I
303,-75.0,45.0,-35.0,5.0,0.3429743424236449
304,-65.0,55.0,-25.0,15.0,0.33996823098425527
305,-55.0,65.0,-15.0,25.0,0.3399682309842552
306,-45.0,75.0,-5.0,35.0,0.34297434242364466
307,-35.0,85.0,5.0,45.0,0.34819826341089327
308,-25.0,95.0,15.0,55.0,0.35432163845751374
309,-15.0,105.0,25.0,65.0,0.35996160093183754
310,-5.0,115.0,35.0,75.0,0.36418134329068635
311,5.0,125.0,45.0,85.0,0.3667928519872537
312,15.0,135.0,55.0,95.0,0.36830522757239104
313,25.0,145.0,65.0,105.0,0.3695652476707594
314,35.0,155.0,75.0,115.0,0.371294668709044
315,45.0,165.0,85.0,125.0,0.37378753175023455
316,55.0,175.0,95.0,135.0,0.37689153262627106
317,65.0,185.0,105.0,145.0,0.38020951036758177
318,75.0,195.0,115.0,155.0,0.3833546359260733
319,85.0,205.0,125.0,165.0,0.3860968818944954
320,95.0,215.0,135.0,175.0,0.3883667955708413
321,105.0,225.0,145.0,185.0,0.3901931407438417
322,115.0,235.0,155.0,195.0,0.3916442002733494
323,125.0,245.0,165.0,205.0,0.3927937815864623
324,135.0,255.0,175.0,215.0,0.39370693539274937
325,145.0,265.0,185.0,225.0,0.39443627000698667
326,155.0,275.0,195.0,235.0,0.3950227018534915
327,165.0,285.0,205.0,245.0,0.39549755130763864
328,175.0,295.0,215.0,255.0,0.39588470699266065
329,185.0,305.0,225.0,265.0,0.3962024433717172
330,195.0,315.0,235.0,275.0,0.3964648277912176
331,205.0,325.0,245.0,285.0,0.3966827717227358
332,215.0,335.0,255.0,295.0,0.3968648056440034
333,225.0,345.0,265.0,305.0,0.3970176492373125
334,235.0,355.0,275.0,315.0,0.3971466329775428
335,245.0,365.0,285.0,325.0,0.3972560123840211
336,255.0,375.0,295.0,335.0,0.3973492045088874
337,265.0,385.0,305.0,345.0,0.39742896765042063
338,275.0,395.0,315.0,355.0,0.3974975391959452
339,285.0,405.0,325.0,365.0,0.39755674224822646
340,295.0,415.0,335.0,375.0,0.39760806872692733
341,305.0,425.0,345.0,385.0,0.39765274456254635
342,315.0,435.0,355.0,395.0,0.3976917811346253
343,325.0,445.0,365.0,405.0,0.3977260160580228
344,335.0,455.0,375.0,415.0,0.3977561456618347
345,345.0,465.0,385.0,425.0,0.3977827509479481
346,355.0,475.0,395.0,435.0,0.39780631840109304
347,365.0,485.0,405.0,445.0,0.3978272567087159
348,375.0,495.0,415.0,455.0,0.3978459102083155
349,385.0,505.0,425.0,465.0,0.3978625696908943
350,395.0,515.0,435.0,475.0,0.3978774810353538
351,405.0,525.0,445.0,485.0,0.39789085201511315
352,415.0,535.0,455.0,495.0,0.39790285748884135
353,425.0,545.0,465.0,505.0,0.39791364303983384
354,435.0,555.0,475.0,515.0,0.39792332692710825
355,445.0,565.0,485.0,525.0,0.3979319998892329
356,455.0,575.0,495.0,535.0,0.3979397217691091
357,465.0,585.0,505.0,545.0,0.3979465128397583
358,475.0,595.0,515.0,555.0,0.3979523355570983
359,485.0,605.0,525.0,565.0,0.3979570580820653
360,495.0,615.0,535.0,575.0,0.3979603817972374
361,505.0,625.0,545.0,585.0,0.39796169546926885
362,515.0,635.0,555.0,595.0,0.3979597726137052
363,-635.0,-395.0,-555.0,-475.0,0.19856273648334619
364,-625.0,-385.0,-545.0,-465.0,0.19853162249367973
365,-615.0,-375.0,-535.0,-455.0,0.19849578613145616
366,-605.0,-365.0,-525.0,-445.0,0.19845518369334253
367,-595.0,-355.0,-515.0,-435.0,0.19840954398799845
