,A,M,V/I
1507,-405.0,185.0,0.019474573279078523
1508,-405.0,195.0,0.019264436066337716
1509,-405.0,205.0,0.019057461623815355
1510,-405.0,215.0,0.01885368194427796
1511,-405.0,225.0,0.018653110833995075
1512,-395.0,-385.0,1.6009980705026965
1513,-395.0,-375.0,0.7908976925696848
1514,-395.0,-365.0,0.5245443122050939
1515,-395.0,-355.0,0.3913898731760037
1516,-395.0,-345.0,0.3114679342624687
1517,-395.0,-335.0,0.2582076587819002
1518,-395.0,-325.0,0.22013522050869933
1519,-395.0,-315.0,0.19151250916170487
1520,-395.0,-305.0,0.16917273058839782
1521,-395.0,-295.0,0.15122921416730806
1522,-395.0,-285.0,0.13648553082414358
1523,-395.0,-275.0,0.12414341112909558
1524,-395.0,-265.0,0.11364805551787019
1525,-395.0,-255.0,0.10460110648192528
1526,-395.0,-245.0,0.09670894087243466
1527,-395.0,-235.0,0.08975043460973457
1528,-395.0,-225.0,0.08355602636511583
1529,-395.0,-215.0,0.07799365137709649
1530,-395.0,-205.0,0.07295902936012358
1531,-395.0,-195.0,0.0683688130117843
1532,-395.0,-185.0,0.0641556755879116
1533,-395.0,-175.0,0.06026475063571747
1534,-395.0,-165.0,0.05665104177910889
1535,-395.0,-155.0,0.05327755201472028
1536,-395.0,-145.0,0.05011397160429462
1537,-395.0,-135.0,0.04713582973208475
1538,-395.0,-125.0,0.044324068922877324
1539,-395.0,-115.0,0.04166504847708709
1540,-395.0,-105.0,0.039151019981145216
1541,-395.0,-95.0,0.036781115565336184
1542,-395.0,-85.0,0.03456275795691227
1543,-395.0,-75.0,0.032512940516932834
1544,-395.0,-65.0,0.030657807499570255
1545,-395.0,-55.0,0.029027817610621263
1546,-395.0,-45.0,0.027646909439111713
1547,-395.0,-35.0,0.026520066222722714
1548,-395.0,-25.0,0.02562873080796723
1549,-395.0,-15.0,0.02493736164025483
1550,-395.0,-5.0,0.02440430458652162
1551,-395.0,5.0,0.023989806056041132
1552,-395.0,15.0,0.023659532552529738
1553,-395.0,25.0,0.02338519040922686
1554,-395.0,35.0,0.023144114496631174
1555,-395.0,45.0,0.02291898459328714
1556,-395.0,55.0,0.022697942949597434
1557,-395.0,65.0,0.022474506622081655
1558,-395.0,75.0,0.022246527129841185
1559,-395.0,85.0,0.022014423094124234
1560,-395.0,95.0,0.02177960637635148
1561,-395.0,105.0,0.02154358709217121
1562,-395.0,115.0,0.021307634909358143
1563,-395.0,125.0,0.02107272081442733
1564,-395.0,135.0,0.02083955769110702
1565,-395.0,145.0,0.020608659793221802
1566,-395.0,155.0,0.0203803949390423
1567,-395.0,165.0,0.02015502434246114
1568,-395.0,175.0,0.019932731501447358
1569,-395.0,185.0,0.01971364280964909
1570,-395.0,195.0,0.01949784225303234
1571,-395.0,205.0,0.019285381961693365
1572,-395.0,215.0,0.01907628986601126
1573,-395.0,225.0,0.018870575319851715
1574,-395.0,235.0,0.018668233284012962
1575,-385.0,-375.0,1.6006388357732997
1576,-385.0,-365.0,0.7905242914338959
1577,-385.0,-355.0,0.5241559464114951
1578,-385.0,-345.0,0.3909856890411224
1579,-385.0,-335.0,0.31104701855868894
1580,-385.0,-325.0,0.257769034435418
1581,-385.0,-315.0,0.21967784215466832
1582,-385.0,-305.0,0.1910352586308411
1583,-385.0,-295.0,0.16867441243707873
1584,-385.0,-285.0,0.15070855141559752
1585,-385.0,-275.0,0.135941161138791
1586,-385.0,-265.0,0.12357388378925205
1587,-385.0,-255.0,0.11305182964117652
1588,-385.0,-245.0,0.10397655118374241
1589,-385.0,-235.0,0.09605433830453292
1590,-385.0,-225.0,0.08906398721092737
1591,-385.0,-215.0,0.08283587020624689
1592,-385.0,-205.0,0.07723787827411839
1593,-385.0,-195.0,0.07216572158147777
1594,-385.0,-185.0,0.0675360961070536
1595,-385.0,-175.0,0.06328179740909629
1596,-385.0,-165.0,0.059348198477648204
1597,-385.0,-155.0,0.05569071546277207
1598,-385.0,-145.0,0.05227301978187257
1599,-385.0,-135.0,0.04906584940917777
1600,-385.0,-125.0,0.04604634451855792
1601,-385.0,-115.0,0.04319789272156119
1602,-385.0,-105.0,0.04051051486323147
1603,-385.0,-95.0,0.03798182450268217
1604,-385.0,-85.0,0.03561845812869957
1605,-385.0,-75.0,0.0334373872538415
1606,-385.0,-65.0,0.03146544618998065
1607,-385.0,-55.0,0.029734193249179516
1608,-385.0,-45.0,0.02826842379474392
1609,-385.0,-35.0,0.027072986809050688
1610,-385.0,-25.0,0.026127913677907132
1611,-385.0,-15.0,0.0253953466082685
1612,-385.0,-5.0,0.02483103888400143
1613,-385.0,5.0,0.024392828420143987
1614,-385.0,15.0,0.024044352894056428
1615,-385.0,25.0,0.023755692233737007
1616,-385.0,35.0,0.02350291270202665
1617,-385.0,45.0,0.02326773490099638
1618,-385.0,55.0,0.023037620035928547
1619,-385.0,65.0,0.02280565349212314
1620,-385.0,75.0,0.022569454305672903
1621,-385.0,85.0,0.022329339160536206
1622,-385.0,95.0,0.02208668694423158
1623,-385.0,105.0,0.021843004414718613
1624,-385.0,115.0,0.021599567767758714
1625,-385.0,125.0,0.02135735608954106
1626,-385.0,135.0,0.02111708895502841
1627,-385.0,145.0,0.020879285108655894
1628,-385.0,155.0,0.020644314679007483
1629,-385.0,165.0,0.020412439292580742
1630,-385.0,175.0,0.020183841299396633
1631,-385.0,185.0,0.019958644703010016
1632,-385.0,195.0,0.019736930134585794
1633,-385.0,205.0,0.019518745637842352
1634,-385.0,215.0,0.019304114517304457
1635,-385.0,225.0,0.019093041117816165
1636,-385.0,235.0,0.018885515133961882
1637,-385.0,245.0,0.01868151486384182
1638,-375.0,-365.0,1.6002506778707308
1639,-375.0,-355.0,0.790120433119075
1640,-375.0,-345.0,0.5237354841717322
1641,-375.0,-335.0,0.3905476556101355
1642,-375.0,-325.0,0.31059037821934166
1643,-375.0,-315.0,0.25729267814659584
1644,-375.0,-305.0,0.21918058257655862
1645,-375.0,-295.0,0.19051582516209226
1646,-375.0,-285.0,0.16813144643189376
1647,-375.0,-275.0,0.15014060182467825
1648,-375.0,-265.0,0.13534668092352337
1649,-375.0,-255.0,0.12295122760542554
1650,-375.0,-245.0,0.1123992534938604
1651,-375.0,-235.0,0.10329221504340978
1652,-375.0,-225.0,0.09533631308256126
1653,-375.0,-215.0,0.08831026807473555
1654,-375.0,-205.0,0.08204439905341851
1655,-375.0,-195.0,0.07640657940874732
1656,-375.0,-185.0,0.07129255644452473
1657,-375.0,-175.0,0.06661914562117355
1658,-375.0,-165.0,0.06231938460621921
1659,-375.0,-155.0,0.058339070365861306
1660,-375.0,-145.0,0.05463431273893014
1661,-375.0,-135.0,0.051169877639818784
1662,-375.0,-125.0,0.047918194061834174
1663,-375.0,-115.0,0.044858978131995075
1664,-375.0,-105.0,0.04197948602946493
1665,-375.0,-95.0,0.03927541669742718
1666,-375.0,-85.0,0.036752345664483835
1667,-375.0,-75.0,0.03442705896869215
1668,-375.0,-65.0,0.03232701466102472
1669,-375.0,-55.0,0.030484868439203134
1670,-375.0,-45.0,0.028926271606707774
1671,-375.0,-35.0,0.02765586891863656
1672,-375.0,-25.0,0.02665211219560716
1673,-375.0,-15.0,0.025874591265994083
1674,-375.0,-5.0,0.025276215982450487
1675,-375.0,5.0,0.024812188965916037
1676,-375.0,15.0,0.024443931861382398
1677,-375.0,25.0,0.02413975100042813
1678,-375.0,35.0,0.023874331280623155
1679,-375.0,45.0,0.023628349608757402
1680,-375.0,55.0,0.023388525054126835
