,A,B,M,N,V/I
230,-121.0,-119.0,-23.0,-21.0,-1.4489703246307883e-05
231,-121.0,-119.0,-21.0,-19.0,-1.3591199893577682e-05
232,-121.0,-119.0,-19.0,-17.0,-1.2778107241415149e-05
233,-121.0,-119.0,-17.0,-15.0,-1.2048307584526172e-05
234,-121.0,-119.0,-15.0,-13.0,-1.1407183814794719e-05
235,-121.0,-119.0,-13.0,-11.0,-1.0874795358994938e-05
236,-121.0,-119.0,-11.0,-9.0,-1.0496278052008964e-05
237,-121.0,-119.0,-9.0,-7.0,-1.0325052752818004e-05
238,-121.0,-119.0,-7.0,-5.0,-1.0248453462560064e-05
239,-121.0,-119.0,-5.0,-3.0,-9.784558203208144e-06
240,-121.0,-119.0,-3.0,-1.0,-8.791614616105586e-06
241,-121.0,-119.0,-1.0,1.0,-7.708273043565556e-06
242,-121.0,-119.0,1.0,3.0,-6.811977787232054e-06
243,-121.0,-119.0,3.0,5.0,-6.159568374011423e-06
244,-119.0,-117.0,-115.0,-113.0,-2.7285632505689907
245,-119.0,-117.0,-113.0,-111.0,-0.673652920571226
246,-119.0,-117.0,-111.0,-109.0,-0.2714333796301036
247,-119.0,-117.0,-109.0,-107.0,-0.1363161551364488
248,-119.0,-117.0,-107.0,-105.0,-0.0770260572692485
249,-119.0,-117.0,-105.0,-103.0,-0.04685242231361292
250,-119.0,-117.0,-103.0,-101.0,-0.029971414862177803
251,-119.0,-117.0,-101.0,-99.0,-0.019869034451082096
252,-119.0,-117.0,-99.0,-97.0,-0.013516333459434593
253,-119.0,-117.0,-97.0,-95.0,-0.009373687584669915
254,-119.0,-117.0,-95.0,-93.0,-0.006599480889510956
255,-119.0,-117.0,-93.0,-91.0,-0.004704884678641344
256,-119.0,-117.0,-91.0,-89.0,-0.00339163432294326
257,-119.0,-117.0,-89.0,-87.0,-0.0024705878204661913
258,-119.0,-117.0,-87.0,-85.0,-0.0018182436845394084
259,-119.0,-117.0,-85.0,-83.0,-0.0013521821635549477
260,-119.0,-117.0,-83.0,-81.0,-0.001016496819222154
261,-119.0,-117.0,-81.0,-79.0,-0.0007727941214289505
262,-119.0,-117.0,-79.0,-77.0,-0.0005944512438801966
263,-119.0,-117.0,-77.0,-75.0,-0.00046286109177221674
264,-119.0,-117.0,-75.0,-73.0,-0.0003649307044953712
265,-119.0,-117.0,-73.0,-71.0,-0.00029139111290855946
266,-119.0,-117.0,-71.0,-69.0,-0.00023564311201388494
267,-119.0,-117.0,-69.0,-67.0,-0.00019296234385548366
268,-119.0,-117.0,-67.0,-65.0,-0.00015994806389041383
269,-119.0,-117.0,-65.0,-63.0,-0.00013413865383357648
270,-119.0,-117.0,-63.0,-61.0,-0.00011374205389776473
271,-119.0,-117.0,-61.0,-59.0,-9.744586883776371e-05
272,-119.0,-117.0,-59.0,-57.0,-8.428299754376437e-05
273,-119.0,-117.0,-57.0,-55.0,-7.353613608603732e-05
274,-119.0,-117.0,-55.0,-53.0,-6.466961461802992e-05
275,-119.0,-117.0,-53.0,-51.0,-5.728053330806768e-05
276,-119.0,-117.0,-51.0,-49.0,-5.106357904898634e-05
277,-119.0,-117.0,-49.0,-47.0,-4.578557880719966e-05
278,-119.0,-117.0,-47.0,-45.0,-4.126701015224124e-05
279,-119.0,-117.0,-45.0,-43.0,-3.736850296888472e-05
280,-119.0,-117.0,-43.0,-41.0,-3.3980936639695786e-05
281,-119.0,-117.0,-41.0,-39.0,-3.1018138256278666e-05
282,-119.0,-117.0,-39.0,-37.0,-2.841147079592557e-05
283,-119.0,-117.0,-37.0,-35.0,-2.6105801079298607e-05
284,-119.0,-117.0,-35.0,-33.0,-2.4056480321534013e-05
285,-119.0,-117.0,-33.0,-31.0,-2.222707242598501e-05
286,-119.0,-117.0,-31.0,-29.0,-2.058763904845204e-05
287,-119.0,-117.0,-29.0,-27.0,-1.9113444803511154e-05
288,-119.0,-117.0,-27.0,-25.0,-1.7783987942884133e-05
289,-119.0,-117.0,-25.0,-23.0,-1.6582298573181165e-05
290,-119.0,-117.0,-23.0,-21.0,-1.5494488269717638e-05
291,-119.0,-117.0,-21.0,-19.0,-1.4509601795862498e-05
292,-119.0,-117.0,-19.0,-17.0,-1.3619958129141435e-05
293,-119.0,-117.0,-17.0,-15.0,-1.2822471955397513e-05
294,-119.0,-117.0,-15.0,-13.0,-1.212208507334056e-05
295,-119.0,-117.0,-13.0,-11.0,-1.153929625958422e-05
296,-119.0,-117.0,-11.0,-9.0,-1.11211304674938e-05
297,-119.0,-117.0,-9.0,-7.0,-1.0923622866186936e-05
298,-119.0,-117.0,-7.0,-5.0,-1.0828518692791028e-05
299,-119.0,-117.0,-5.0,-3.0,-1.032884089196412e-05
300,-119.0,-117.0,-3.0,-1.0,-9.274789561074595e-06
301,-119.0,-117.0,-1.0,1.0,-8.12732017207475e-06
302,-119.0,-117.0,1.0,3.0,-7.1777847845296006e-06
303,-119.0,-117.0,3.0,5.0,-6.485443940823857e-06
304,-119.0,-117.0,5.0,7.0,-6.02247890381033e-06
305,-117.0,-115.0,-113.0,-111.0,-2.728562607684329
306,-117.0,-115.0,-111.0,-109.0,-0.6736524718206613
307,-117.0,-115.0,-109.0,-107.0,-0.2714330673465868
308,-117.0,-115.0,-107.0,-105.0,-0.13631593871042424
309,-117.0,-115.0,-105.0,-103.0,-0.07702590821834643
310,-117.0,-115.0,-103.0,-101.0,-0.04685232067208234
311,-117.0,-115.0,-101.0,-99.0,-0.029971346617222117
312,-117.0,-115.0,-99.0,-97.0,-0.019868989747549054
313,-117.0,-115.0,-97.0,-95.0,-0.013516305349407814
314,-117.0,-115.0,-95.0,-93.0,-0.00937367115760429
315,-117.0,-115.0,-93.0,-91.0,-0.006599472666478895
316,-117.0,-115.0,-91.0,-89.0,-0.004704882189594514
317,-117.0,-115.0,-89.0,-87.0,-0.0033916358108952993
318,-117.0,-115.0,-87.0,-85.0,-0.0024705920338758125
319,-117.0,-115.0,-85.0,-83.0,-0.001818249731148136
320,-117.0,-115.0,-83.0,-81.0,-0.001352189407170995
321,-117.0,-115.0,-81.0,-79.0,-0.001016504806608795
322,-117.0,-115.0,-79.0,-77.0,-0.0007728025303619934
323,-117.0,-115.0,-77.0,-75.0,-0.0005944598461381512
324,-117.0,-115.0,-75.0,-73.0,-0.0004628697266934531
325,-117.0,-115.0,-73.0,-71.0,-0.0003649392600370352
326,-117.0,-115.0,-71.0,-69.0,-0.00029139951204817244
327,-117.0,-115.0,-69.0,-67.0,-0.00023565130297010378
328,-117.0,-115.0,-67.0,-65.0,-0.00019297029304912033
329,-117.0,-115.0,-65.0,-63.0,-0.00015995575088179753
330,-117.0,-115.0,-63.0,-61.0,-0.00013414606769493465
