,A,B,M,V/I
208,-121.0,-119.0,-73.0,-0.001991158399869797
209,-121.0,-119.0,-71.0,-0.0017555242039131863
210,-121.0,-119.0,-69.0,-0.0015625706052182012
211,-121.0,-119.0,-67.0,-0.0014026310651492069
212,-121.0,-119.0,-65.0,-0.0012685006813275036
213,-121.0,-119.0,-63.0,-0.0011547666241850732
214,-121.0,-119.0,-61.0,-0.0010573284688890072
215,-121.0,-119.0,-59.0,-0.0009730528987177238
216,-121.0,-119.0,-57.0,-0.0008995239061814694
217,-121.0,-119.0,-55.0,-0.0008348611578575145
218,-121.0,-119.0,-53.0,-0.0007775872238053871
219,-121.0,-119.0,-51.0,-0.0007265299907326939
220,-121.0,-119.0,-49.0,-0.0006807505222702279
221,-121.0,-119.0,-47.0,-0.0006394894092238944
222,-121.0,-119.0,-45.0,-0.0006021266187266547
223,-121.0,-119.0,-43.0,-0.0005681512469979805
224,-121.0,-119.0,-41.0,-0.0005371385749581119
225,-121.0,-119.0,-39.0,-0.0005087325371484486
226,-121.0,-119.0,-37.0,-0.00048263222480664225
227,-121.0,-119.0,-35.0,-0.00045858141147225515
228,-121.0,-119.0,-33.0,-0.0004363603549286735
229,-121.0,-119.0,-31.0,-0.0004157793213168011
230,-121.0,-119.0,-29.0,-0.0003966734159689782
231,-121.0,-119.0,-27.0,-0.0003788984045773533
232,-121.0,-119.0,-25.0,-0.00036232727605007425
233,-121.0,-119.0,-23.0,-0.0003468473373373776
234,-121.0,-119.0,-21.0,-0.0003323576340910697
235,-121.0,-119.0,-19.0,-0.00031876643419749204
236,-121.0,-119.0,-17.0,-0.0003059883269560769
237,-121.0,-119.0,-15.0,-0.0002939400193715507
238,-121.0,-119.0,-13.0,-0.000282532835556756
239,-121.0,-119.0,-11.0,-0.00027165804019776106
240,-121.0,-119.0,-9.0,-0.0002611617621457521
241,-121.0,-119.0,-7.0,-0.0002508367093929341
242,-121.0,-119.0,-5.0,-0.00024058825593037403
243,-121.0,-119.0,-3.0,-0.00023080369772716589
244,-121.0,-119.0,-1.0,-0.0002220120831110603
245,-121.0,-119.0,1.0,-0.00021430381006749474
246,-121.0,-119.0,3.0,-0.0002074918322802627
247,-121.0,-119.0,5.0,-0.00020133226390625127
248,-119.0,-117.0,-115.0,-4.032406087144309
249,-119.0,-117.0,-113.0,-1.3038428365753179
250,-119.0,-117.0,-111.0,-0.630189916004092
251,-119.0,-117.0,-109.0,-0.3587565363739884
252,-119.0,-117.0,-107.0,-0.22244038123753962
253,-119.0,-117.0,-105.0,-0.14541432396829107
254,-119.0,-117.0,-103.0,-0.09856190165467815
255,-119.0,-117.0,-101.0,-0.06859048679250035
