,A,M,N,V/I
271,-119.0,-71.0,-69.0,0.0017662123810225777
272,-119.0,-69.0,-67.0,0.0015730105291692081
273,-119.0,-67.0,-65.0,0.0014128297840102569
274,-119.0,-65.0,-63.0,0.0012784650268989686
275,-119.0,-63.0,-61.0,0.0011645031989700426
276,-119.0,-61.0,-59.0,0.001066843649316366
277,-119.0,-59.0,-57.0,0.0009823528529350443
278,-119.0,-57.0,-55.0,0.0009086146264337888
279,-119.0,-55.0,-53.0,0.0008437485091638101
280,-119.0,-53.0,-51.0,0.0007862770125257358
281,-119.0,-51.0,-49.0,0.0007350280588939995
282,-119.0,-49.0,-47.0,0.000689062876445809
283,-119.0,-47.0,-45.0,0.0006476223966804077
284,-119.0,-45.0,-43.0,0.0006100871689289633
285,-119.0,-43.0,-41.0,0.0005759472040686373
286,-119.0,-41.0,-39.0,0.0005447791573132583
287,-119.0,-39.0,-37.0,0.0005162289757967391
288,-119.0,-37.0,-35.0,0.0004899986541507736
289,-119.0,-35.0,-33.0,0.0004658361200760158
290,-119.0,-33.0,-31.0,0.0004435275562581602
291,-119.0,-31.0,-29.0,0.00042289169099760104
292,-119.0,-29.0,-27.0,0.00040377579433489505
293,-119.0,-27.0,-25.0,0.00038605335181016165
294,-119.0,-25.0,-23.0,0.0003696237557170856
295,-119.0,-23.0,-21.0,0.0003544150824083894
296,-119.0,-21.0,-19.0,0.0003403926568293948
297,-119.0,-19.0,-17.0,0.000327579924644706
298,-119.0,-17.0,-15.0,0.00031610697308129786
299,-119.0,-15.0,-13.0,0.00030632038432001213
300,-119.0,-13.0,-11.0,0.00029901048916373615
301,-119.0,-11.0,-9.0,0.00029571965867503623
302,-119.0,-9.0,-7.0,0.00029813041948167224
303,-119.0,-7.0,-5.0,0.0003024583827365007
304,-119.0,-5.0,-3.0,0.0002933366173059268
305,-119.0,-3.0,-1.0,0.0002665226833163687
306,-119.0,-1.0,1.0,0.00023613064355453538
307,-119.0,1.0,3.0,0.00021120387188440504
308,-119.0,3.0,5.0,0.00019381183707366766
309,-119.0,5.0,7.0,0.00018329348347690712
310,-117.0,-115.0,-113.0,4.03241685848368
311,-117.0,-113.0,-111.0,1.303855323564723
312,-117.0,-111.0,-109.0,0.6302034807503185
313,-117.0,-109.0,-107.0,0.35877073299548323
314,-117.0,-107.0,-105.0,0.22245489994447532
315,-117.0,-105.0,-103.0,0.14542895080350077
316,-117.0,-103.0,-101.0,0.09857648995717017
317,-117.0,-101.0,-99.0,0.06860493710759
318,-117.0,-99.0,-97.0,0.048735698310642755
319,-117.0,-97.0,-95.0,0.035219117333945865
320,-117.0,-95.0,-93.0,0.025845155281986554
321,-117.0,-93.0,-91.0,0.019245384293165163
322,-117.0,-91.0,-89.0,0.014540201744682998
323,-117.0,-89.0,-87.0,0.011148267203372128
324,-117.0,-87.0,-85.0,0.00867738051500122
325,-117.0,-85.0,-83.0,0.006858841794876544
326,-117.0,-83.0,-81.0,0.005506370050753148
327,-117.0,-81.0,-79.0,0.004489590123351692
328,-117.0,-79.0,-77.0,0.003716519958518745
329,-117.0,-77.0,-75.0,0.0031218000317728353
330,-117.0,-75.0,-73.0,0.0026586777083617077
331,-117.0,-73.0,-71.0,0.002293493174527872
332,-117.0,-71.0,-69.0,0.0020018554930364627
333,-117.0,-69.0,-67.0,0.0017659728730246918
334,-117.0,-67.0,-65.0,0.0015727778479006707
335,-117.0,-65.0,-63.0,0.001412603680732545
336,-117.0,-63.0,-61.0,0.0012782452528678073
337,-117.0,-61.0,-59.0,0.0011642895181541296
338,-117.0,-59.0,-57.0,0.0010666358504788087
339,-117.0,-57.0,-55.0,0.0009821507625198261
340,-117.0,-55.0,-53.0,0.0009084181237818401
341,-117.0,-53.0,-51.0,0.0008435575458338035
342,-117.0,-51.0,-49.0,0.0007860916379429858
343,-117.0,-49.0,-47.0,0.0007348484552530087
344,-117.0,-47.0,-45.0,0.000688889406832649
345,-117.0,-45.0,-43.0,0.000647455671897848
346,-117.0,-43.0,-41.0,0.000609928140708333
347,-117.0,-41.0,-39.0,0.000575797295569537
348,-117.0,-39.0,-37.0,0.0005446404465926646
349,-117.0,-37.0,-35.0,0.0005161044552300723
350,-117.0,-35.0,-33.0,0.0004898926003975498
351,-117.0,-33.0,-31.0,0.0004657546286841452
352,-117.0,-31.0,-29.0,0.0004434793300460531
353,-117.0,-29.0,-27.0,0.0004228892391384062
354,-117.0,-27.0,-25.0,0.0004038373397530458
355,-117.0,-25.0,-23.0,0.0003862060542902668
356,-117.0,-23.0,-21.0,0.00036990957067810706
357,-117.0,-21.0,-19.0,0.0003549022586252573
358,-117.0,-19.0,-17.0,0.00034119988277384744
359,-117.0,-17.0,-15.0,0.00032892944503669364
360,-117.0,-15.0,-13.0,0.0003184424693933527
361,-117.0,-13.0,-11.0,0.0003105497854233204
362,-117.0,-11.0,-9.0,0.00030684078914253003
363,-117.0,-9.0,-7.0,0.0003090540423478592
364,-117.0,-7.0,-5.0,0.00031328690142929175
365,-117.0,-5.0,-3.0,0.0003036654581978909
366,-117.0,-3.0,-1.0,0.0002757974728774433
367,-117.0,-1.0,1.0,0.00024425796372661013
368,-117.0,1.0,3.0,0.00021838165666893464
369,-117.0,3.0,5.0,0.0002002972810144915
370,-117.0,5.0,7.0,0.00018931596238071745
371,-117.0,7.0,9.0,0.00018352058818012218
372,-115.0,-113.0,-111.0,4.032417931249052
373,-115.0,-111.0,-109.0,1.3038559525709799
374,-115.0,-109.0,-107.0,0.63020380034207
375,-115.0,-107.0,-105.0,0.35877083865489956
376,-115.0,-105.0,-103.0,0.22245485902184714
377,-115.0,-103.0,-101.0,0.1454288106292525
378,-115.0,-101.0,-99.0,0.09857628372481209
379,-115.0,-99.0,-97.0,0.06860468805819181
380,-115.0,-97.0,-95.0,0.04873542268335368
381,-115.0,-95.0,-93.0,0.035218826439590845
382,-115.0,-93.0,-91.0,0.025844856959644058
383,-115.0,-91.0,-89.0,0.019245083934277513
384,-115.0,-89.0,-87.0,0.014539903014267427
385,-115.0,-87.0,-85.0,0.011147972548877033
386,-115.0,-85.0,-83.0,0.00867709152602468
387,-115.0,-83.0,-81.0,0.006858559457924143
388,-115.0,-81.0,-79.0,0.005506094929960487
389,-115.0,-79.0,-77.0,0.004489322488880738
390,-115.0,-77.0,-75.0,0.0037162598779109865
391,-115.0,-75.0,-73.0,0.003121547435055161
392,-115.0,-73.0,-71.0,0.002658432434564907
393,-115.0,-71.0,-69.0,0.002293255005084635
394,-115.0,-69.0,-67.0,0.0020016241759947956
395,-115.0,-67.0,-65.0,0.001765748140949791
396,-115.0,-65.0,-63.0,0.0015725594316143426
397,-115.0,-63.0,-61.0,0.001412391320562742
398,-115.0,-61.0,-59.0,0.0012780387087925026
399,-115.0,-59.0,-57.0,0.0011640885800933039
400,-115.0,-57.0,-55.0,0.0010664403499944866
401,-115.0,-55.0,-53.0,0.000981960587330015
402,-115.0,-53.0,-51.0,0.0009082332367964172
403,-115.0,-51.0,-49.0,0.0008433780109134634
404,-115.0,-49.0,-47.0,0.0007859176553266511
405,-115.0,-47.0,-45.0,0.0007346804106861948
406,-115.0,-45.0,-43.0,0.0006887279400015038
407,-115.0,-43.0,-41.0,0.000647301772046343
408,-115.0,-41.0,-39.0,0.0006097832806330958
409,-115.0,-39.0,-37.0,0.0005756636201125348
410,-115.0,-37.0,-35.0,0.0005445210392731881
411,-115.0,-35.0,-33.0,0.0005160037186224854
412,-115.0,-33.0,-31.0,0.0004898168059669535
413,-115.0,-31.0,-29.0,0.00046571272794559276
414,-115.0,-29.0,-27.0,0.0004434841888849052
415,-115.0,-27.0,-25.0,0.00042295960243335373
416,-115.0,-25.0,-23.0,0.0004040011535448272
417,-115.0,-23.0,-21.0,0.0003865065092695588
418,-115.0,-21.0,-19.0,0.0003704169712594567
419,-115.0,-19.0,-17.0,0.0003557389656214244
420,-115.0,-17.0,-15.0,0.0003425952131858208
421,-115.0,-15.0,-13.0,0.0003313415796069377
422,-115.0,-13.0,-11.0,0.00032280976074723286
423,-115.0,-11.0,-9.0,0.00031863812085543286
424,-115.0,-9.0,-7.0,0.0003206240119710685
425,-115.0,-7.0,-5.0,0.00032474056123133616
426,-115.0,-5.0,-3.0,0.0003145800595191345
427,-115.0,-3.0,-1.0,0.0002855917751254898
428,-115.0,-1.0,1.0,0.000252835487119938
429,-115.0,1.0,3.0,0.0002259521026230088
430,-115.0,3.0,5.0,0.0002071321534094471
431,-115.0,5.0,7.0,0.0001956570998720153
432,-115.0,7.0,9.0,0.00018954431940079383
433,-115.0,9.0,11.0,0.00018642298223873512
434,-113.0,-111.0,-109.0,4.0324182439029
435,-113.0,-109.0,-107.0,1.3038560526589285
436,-113.0,-107.0,-105.0,0.6302037546928521
437,-113.0,-105.0,-103.0,0.3587706944404174
438,-113.0,-103.0,-101.0,0.22245464938021442
439,-113.0,-101.0,-99.0,0.14542855876478877
440,-113.0,-99.0,-97.0,0.09857600583595927
441,-113.0,-97.0,-95.0,0.0686043954085429
442,-113.0,-95.0,-93.0,0.048735123060948515
443,-113.0,-93.0,-91.0,0.035218525184226634
444,-113.0,-91.0,-89.0,0.025844557686485525
445,-113.0,-89.0,-87.0,0.01924478904419495
446,-113.0,-87.0,-85.0,0.014539614054303499
447,-113.0,-85.0,-83.0,0.011147690467239804
448,-113.0,-83.0,-81.0,0.00867681685271747
449,-113.0,-81.0,-79.0,0.006858292432844124
450,-113.0,-79.0,-77.0,0.0055058355938303605
451,-113.0,-77.0,-75.0,0.0044890707478560665
452,-113.0,-75.0,-73.0,0.0037160155495438996
453,-113.0,-73.0,-71.0,0.0031213102810803833
454,-113.0,-71.0,-69.0,0.0026582021844279297
455,-113.0,-69.0,-67.0,0.002293031373052777
456,-113.0,-67.0,-65.0,0.002001406873948307
457,-113.0,-65.0,-63.0,0.0017655368884520115
458,-113.0,-63.0,-61.0,0.0015723539645437837
459,-113.0,-61.0,-59.0,0.0014121913994175617
460,-113.0,-59.0,-57.0,0.0012778441277310724
461,-113.0,-57.0,-55.0,0.0011638991778440272
462,-113.0,-55.0,-53.0,0.0010662560239626945
463,-113.0,-53.0,-51.0,0.000981781312572979
464,-113.0,-51.0,-49.0,0.0009080590920673565
465,-113.0,-49.0,-47.0,0.0008432092147578757
466,-113.0,-47.0,-45.0,0.00078575461634494
467,-113.0,-45.0,-43.0,0.0007345237977023251
468,-113.0,-43.0,-41.0,0.000688578780223284
469,-113.0,-41.0,-39.0,0.0006471615887218944
470,-113.0,-39.0,-37.0,0.0006096542867835147
471,-113.0,-37.0,-35.0,0.0005755489926718427
472,-113.0,-35.0,-33.0,0.0005444253103009875
473,-113.0,-33.0,-31.0,0.0005159333409930043
474,-113.0,-31.0,-29.0,0.0004897809882531932
475,-113.0,-29.0,-27.0,0.00046572470548516404
476,-113.0,-27.0,-25.0,0.0004435632481727403
477,-113.0,-25.0,-23.0,0.00042313450694034943
478,-113.0,-23.0,-21.0,0.000404316380843997
479,-113.0,-21.0,-19.0,0.00038703451008626974
480,-113.0,-19.0,-17.0,0.0003712839496508545
481,-113.0,-17.0,-15.0,0.0003571816564879732
482,-113.0,-15.0,-13.0,0.000345087035083385
483,-113.0,-13.0,-11.0,0.00033585291421215843
484,-113.0,-11.0,-9.0,0.0003311686118267661
485,-113.0,-9.0,-7.0,0.00033289316828023774
486,-113.0,-7.0,-5.0,0.00033686908320842285
487,-113.0,-5.0,-3.0,0.00032612608892646985
488,-113.0,-3.0,-1.0,0.0002959455537750698
489,-113.0,-1.0,1.0,0.000261897449422923
490,-113.0,1.0,3.0,0.00023394469140576406
491,-113.0,3.0,5.0,0.00021434228216342908
492,-113.0,5.0,7.0,0.0002023400040529217
493,-113.0,7.0,9.0,0.00019588611836987915
494,-113.0,9.0,11.0,0.00019253154633979037
495,-113.0,11.0,13.0,0.00019030830804038848
496,-111.0,-109.0,-107.0,4.03241819164483
497,-111.0,-107.0,-105.0,1.3038559029256267
498,-111.0,-105.0,-103.0,0.6302035404121811
499,-111.0,-103.0,-101.0,0.35877043870306213
500,-111.0,-101.0,-99.0,0.22245436830113263
501,-111.0,-99.0,-97.0,0.1454282635336701
502,-111.0,-97.0,-95.0,0.09857570417152062
503,-111.0,-95.0,-93.0,0.06860409258551331
504,-111.0,-93.0,-91.0,0.048734822634328295
505,-111.0,-91.0,-89.0,0.03521822950014217
506,-111.0,-89.0,-87.0,0.025844268242827734
507,-111.0,-87.0,-85.0,0.019244506745479062
508,-111.0,-85.0,-83.0,0.014539339391952816
509,-111.0,-83.0,-81.0,0.011147423647216048
510,-111.0,-81.0,-79.0,0.008676557885915953
511,-111.0,-79.0,-77.0,0.006858041199130707
512,-111.0,-77.0,-75.0,0.005505591887415853
513,-111.0,-75.0,-73.0,0.00448883430947368
514,-111.0,-73.0,-71.0,0.0037157860893335323
515,-111.0,-71.0,-69.0,0.003121087494995324
516,-111.0,-69.0,-67.0,0.002657985766220977
517,-111.0,-67.0,-65.0,0.0022928210233844407
518,-111.0,-65.0,-63.0,0.002001202307821408
519,-111.0,-63.0,-61.0,0.0017653378419778334
520,-111.0,-61.0,-59.0,0.0015721602019554484
521,-111.0,-59.0,-57.0,0.0014120027212616189
522,-111.0,-57.0,-55.0,0.0012776603812849098
523,-111.0,-55.0,-53.0,0.0011637202710392397
524,-111.0,-53.0,-51.0,0.001066081944470658
525,-111.0,-51.0,-49.0,0.0009816121542708736
526,-111.0,-49.0,-47.0,0.000907895091920026
