,A,B,M,N,V/I
245,113.0,125.0,117.0,121.0,3.868041528530159
246,115.0,127.0,119.0,123.0,3.867991547387791
247,-127.0,-103.0,-119.0,-111.0,1.6503317331921092
248,-125.0,-101.0,-117.0,-109.0,1.6503721408776648
249,-123.0,-99.0,-115.0,-107.0,1.6503930337492856
250,-121.0,-97.0,-113.0,-105.0,1.650403482654708
251,-119.0,-95.0,-111.0,-103.0,1.6504085097179595
252,-117.0,-93.0,-109.0,-101.0,1.6504107803318235
253,-115.0,-91.0,-107.0,-99.0,1.6504116713240666
254,-113.0,-89.0,-105.0,-97.0,1.6504118840764552
255,-111.0,-87.0,-103.0,-95.0,1.6504117736206205
256,-109.0,-85.0,-101.0,-93.0,1.6504115189537703
257,-107.0,-83.0,-99.0,-91.0,1.6504112097401726
258,-105.0,-81.0,-97.0,-89.0,1.6504108902391335
259,-103.0,-79.0,-95.0,-87.0,1.6504105815999035
260,-101.0,-77.0,-93.0,-85.0,1.6504102932324127
261,-99.0,-75.0,-91.0,-83.0,1.6504100286407506
262,-97.0,-73.0,-89.0,-81.0,1.6504097884322715
263,-95.0,-71.0,-87.0,-79.0,1.6504095718763432
264,-93.0,-69.0,-85.0,-77.0,1.6504093777144964
265,-91.0,-67.0,-83.0,-75.0,1.6504092045842558
266,-89.0,-65.0,-81.0,-73.0,1.6504090512466334
267,-87.0,-63.0,-79.0,-71.0,1.6504089167198701
268,-85.0,-61.0,-77.0,-69.0,1.6504088003788335
269,-83.0,-59.0,-75.0,-67.0,1.6504087020608762
270,-81.0,-57.0,-73.0,-65.0,1.6504086222159815
271,-79.0,-55.0,-71.0,-63.0,1.6504085621500404
272,-77.0,-53.0,-69.0,-61.0,1.6504085244384497
273,-75.0,-51.0,-67.0,-59.0,1.6504085136435673
274,-73.0,-49.0,-65.0,-57.0,1.6504085375752584
275,-71.0,-47.0,-63.0,-55.0,1.6504086095300414
276,-69.0,-45.0,-61.0,-53.0,1.6504087523095174
277,-67.0,-43.0,-59.0,-51.0,1.650409005501609
278,-65.0,-41.0,-57.0,-49.0,1.6504094387928836
279,-63.0,-39.0,-55.0,-47.0,1.6504101765136994
280,-61.0,-37.0,-53.0,-45.0,1.6504114432595167
281,-59.0,-35.0,-51.0,-43.0,1.6504136493516761
282,-57.0,-33.0,-49.0,-41.0,1.6504175521797437
283,-55.0,-31.0,-47.0,-39.0,1.650424563231092
284,-53.0,-29.0,-45.0,-37.0,1.6504373372290744
285,-51.0,-27.0,-43.0,-35.0,1.6504609126850822
286,-49.0,-25.0,-41.0,-33.0,1.6505049416834727
287,-47.0,-23.0,-39.0,-31.0,1.6505880978769036
