# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
-900.0,-100.0,100.0,5.966408507673406,5.0
-900.0,0.0,100.0,4.918393412859555,5.0
-900.0,100.0,100.0,12.505205214986034,5.0
-900.0,200.0,100.0,6.488551500774497,5.0
-900.0,300.0,100.0,6.8628707129935576,5.0
-900.0,400.0,100.0,-6.927603207151277,5.0
-900.0,500.0,100.0,-55.5453820517412,5.0
-900.0,600.0,100.0,-103.57325506905794,5.0
-900.0,700.0,100.0,-149.05676737490427,5.0
-900.0,800.0,100.0,-146.95513461040701,5.0
-900.0,900.0,100.0,-125.96179898517832,5.0
-900.0,1000.0,100.0,-94.31665347773195,5.0
-900.0,1100.0,100.0,-62.439537395665845,5.0
-900.0,1200.0,100.0,-45.955251316293165,5.0
-900.0,1300.0,100.0,-41.35327660445722,5.0
-900.0,1400.0,100.0,-28.08279248937507,5.0
-900.0,1500.0,100.0,-20.52132671597399,5.0
-800.0,-1500.0,100.0,4.412813526819305,5.0
-800.0,-1400.0,100.0,3.310877111606545,5.0
-800.0,-1300.0,100.0,1.3020834373375005,5.0
-800.0,-1200.0,100.0,-3.26730905526552,5.0
-800.0,-1100.0,100.0,3.6909113750684277,5.0
-800.0,-1000.0,100.0,-4.432177901479123,5.0
-800.0,-900.0,100.0,-5.07218029027274,5.0
-800.0,-800.0,100.0,3.421616500045087,5.0
-800.0,-700.0,100.0,7.137501650441379,5.0
-800.0,-600.0,100.0,6.753129555751874,5.0
-800.0,-500.0,100.0,7.136000556116984,5.0
-800.0,-400.0,100.0,11.560104644532805,5.0
-800.0,-300.0,100.0,6.033377609491352,5.0
-800.0,-200.0,100.0,13.792134124173007,5.0
-800.0,-100.0,100.0,27.419827025490193,5.0
-800.0,0.0,100.0,37.02935165567095,5.0
-800.0,100.0,100.0,62.870347815167584,5.0
-800.0,200.0,100.0,83.13886569764213,5.0
-800.0,300.0,100.0,129.93555674490634,5.0
-800.0,400.0,100.0,168.23287406376812,5.0
-800.0,500.0,100.0,174.49299395400013,5.0
-800.0,600.0,100.0,32.530141269145766,5.0
-800.0,700.0,100.0,-156.33966959053024,5.0
-800.0,800.0,100.0,-199.6010697252886,5.0
-800.0,900.0,100.0,-166.24138062591493,5.0
-800.0,1000.0,100.0,-111.56694124192182,5.0
-800.0,1100.0,100.0,-74.86762287132143,5.0
-800.0,1200.0,100.0,-56.81543788643025,5.0
-800.0,1300.0,100.0,-43.36909368347681,5.0
-800.0,1400.0,100.0,-47.25047059487349,5.0
-800.0,1500.0,100.0,-28.055726266543484,5.0
-700.0,-1500.0,100.0,-0.13745791146248632,5.0
-700.0,-1400.0,100.0,-1.8292530566940792,5.0
-700.0,-1300.0,100.0,-2.628572554146686,5.0
-700.0,-1200.0,100.0,-0.40397922543858295,5.0
-700.0,-1100.0,100.0,-4.322774099358093,5.0
-700.0,-1000.0,100.0,-2.347014926195753,5.0
-700.0,-900.0,100.0,-8.796724282883522,5.0
-700.0,-800.0,100.0,7.9639269892766,5.0
-700.0,-700.0,100.0,17.15477267065625,5.0
-700.0,-600.0,100.0,1.3615307433692383,5.0
-700.0,-500.0,100.0,9.920216863313126,5.0
-700.0,-400.0,100.0,14.482148833033602,5.0
-700.0,-300.0,100.0,28.938650985868637,5.0
-700.0,-200.0,100.0,50.263275498674545,5.0
-700.0,-100.0,100.0,58.00254084520593,5.0
-700.0,0.0,100.0,102.97748172514885,5.0
-700.0,100.0,100.0,153.82094473014237,5.0
-700.0,200.0,100.0,229.59537821929578,5.0
-700.0,300.0,100.0,389.58580723849144,5.0
-700.0,400.0,100.0,589.8781868712027,5.0
-700.0,500.0,100.0,600.2855176113688,5.0
-700.0,600.0,100.0,340.0131921666862,5.0
-700.0,700.0,100.0,-34.154873730620345,5.0
-700.0,800.0,100.0,-251.5026061164245,5.0
-700.0,900.0,100.0,-209.8581247523885,5.0
-700.0,1000.0,100.0,-131.55489532049558,5.0
-700.0,1100.0,100.0,-104.08125164665019,5.0
-700.0,1200.0,100.0,-64.19856964998425,5.0
-700.0,1300.0,100.0,-46.3777792146222,5.0
-700.0,1400.0,100.0,-32.8190340958499,5.0
-700.0,1500.0,100.0,-30.683179373229883,5.0
-600.0,-1500.0,100.0,11.9266212868095,5.0
-600.0,-1400.0,100.0,1.9343801966516834,5.0
-600.0,-1300.0,100.0,1.599631809352717,5.0
-600.0,-1200.0,100.0,1.4346792432167876,5.0
-600.0,-1100.0,100.0,8.694193126885445,5.0
-600.0,-1000.0,100.0,3.370841535077174,5.0
-600.0,-900.0,100.0,4.87991236073726,5.0
-600.0,-800.0,100.0,10.460609346521426,5.0
-600.0,-700.0,100.0,10.759499687136426,5.0
-600.0,-600.0,100.0,15.167122926069098,5.0
-600.0,-500.0,100.0,18.72346342956025,5.0
-600.0,-400.0,100.0,27.491901267334345,5.0
-600.0,-300.0,100.0,57.25732173497153,5.0
-600.0,-200.0,100.0,83.05411609266406,5.0
-600.0,-100.0,100.0,110.6524360335058,5.0
-600.0,0.0,100.0,177.5520344555779,5.0
-600.0,100.0,100.0,271.1516819538079,5.0
-600.0,200.0,100.0,451.406142538763,5.0
-600.0,300.0,100.0,773.8261796514295,5.0
-600.0,400.0,100.0,985.9443430831349,5.0
-600.0,500.0,100.0,809.4348755164984,5.0
-600.0,600.0,100.0,494.2383331544551,5.0
-600.0,700.0,100.0,70.92860656365492,5.0
-600.0,800.0,100.0,-269.22291679829675,5.0
-600.0,900.0,100.0,-244.72567421355205,5.0
-600.0,1000.0,100.0,-149.47539514600743,5.0
-600.0,1100.0,100.0,-111.18092268604302,5.0
-600.0,1200.0,100.0,-75.44377425547574,5.0
-600.0,1300.0,100.0,-55.959634256912096,5.0
-600.0,1400.0,100.0,-40.819195843110585,5.0
-600.0,1500.0,100.0,-28.48702270764715,5.0
-500.0,-1500.0,100.0,3.8695722760587863,5.0
-500.0,-1400.0,100.0,-8.255774749221104,5.0
-500.0,-1300.0,100.0,8.836692373559838,5.0
-500.0,-1200.0,100.0,1.247418991495559,5.0
-500.0,-1100.0,100.0,5.602611237100767,5.0
-500.0,-1000.0,100.0,10.202127650651683,5.0
-500.0,-900.0,100.0,5.643594898742807,5.0
-500.0,-800.0,100.0,21.866817944995322,5.0
-500.0,-700.0,100.0,20.470932076984194,5.0
-500.0,-600.0,100.0,31.420248295011675,5.0
-500.0,-500.0,100.0,39.08509868622668,5.0
-500.0,-400.0,100.0,57.02622903344896,5.0
-500.0,-300.0,100.0,82.0973982393961,5.0
-500.0,-200.0,100.0,115.55798819851667,5.0
-500.0,-100.0,100.0,180.38398025806953,5.0
-500.0,0.0,100.0,263.672063023352,5.0
-500.0,100.0,100.0,394.65154755056454,5.0
-500.0,200.0,100.0,657.960331105444,5.0
-500.0,300.0,100.0,1039.9005901181622,5.0
-500.0,400.0,100.0,1101.9763154104887,5.0
-500.0,500.0,100.0,824.966705668947,5.0
-500.0,600.0,100.0,454.74047035732684,5.0
-500.0,700.0,100.0,-3.4453941094888827,5.0
-500.0,800.0,100.0,-308.68248241661746,5.0
-500.0,900.0,100.0,-256.67645886418853,5.0
-500.0,1000.0,100.0,-164.6349875733342,5.0
-500.0,1100.0,100.0,-111.9543050709792,5.0
-500.0,1200.0,100.0,-72.11373355743142,5.0
-500.0,1300.0,100.0,-56.196402729914304,5.0
-500.0,1400.0,100.0,-37.001083408027704,5.0
-500.0,1500.0,100.0,-27.237825260646275,5.0
